web_scraper_order,web_scraper_start_url,name,slogan,link,website,About,founder_name,founders_linkedIn,Job,job_name,salary
1766065192-19,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Hera,AI Motion Designer,https://www.ycombinator.com/companies/hera-video,https://hera.video/,"Hera is an AI motion designer that turns 5-hour projects into 5-minute tasks. 

When you're a YouTuber making an infographic animation, instead of spending hours manually clicking buttons in Adobe After Effects, you can create the same animation in minutes in Hera. 

Through talking to our users, we realized that 95% of time spent on motion graphics is manual button clicking, not creative work. This insight led us to focus on automating the tedious parts while giving the user all creative control.

We launched in May 2025, got 100k waitlist signups in 8 weeks, and we're doubling revenue monthly.",Peter Tribelhorn,https://x.com/tribelhorn23,https://www.ycombinator.com/companies/hera-video/jobs,,
1766065192-20,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Hera,AI Motion Designer,https://www.ycombinator.com/companies/hera-video,https://hera.video/,"Hera is an AI motion designer that turns 5-hour projects into 5-minute tasks. 

When you're a YouTuber making an infographic animation, instead of spending hours manually clicking buttons in Adobe After Effects, you can create the same animation in minutes in Hera. 

Through talking to our users, we realized that 95% of time spent on motion graphics is manual button clicking, not creative work. This insight led us to focus on automating the tedious parts while giving the user all creative control.

We launched in May 2025, got 100k waitlist signups in 8 weeks, and we're doubling revenue monthly.",Chia-Lun Wu,https://x.com/leowuhera,https://www.ycombinator.com/companies/hera-video/jobs,,
1766065197-21,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Reacher,We automate creator marketing for the world's largest brands,https://www.ycombinator.com/companies/reacher,https://reacherapp.com/,"Reacher is an AI-powered platform that automates creator marketing workflows—from discovery and outreach to campaign management and content strategy—making marketing teams 10x more productive. 

We handle the manual tasks so brands can focus on building relationships with creators while centralizing their operations in one platform to manage creators on TikTok Shop, Instagram, and YouTube.",Jerry Qian,https://x.com/JerryQian_,https://www.ycombinator.com/companies/reacher/jobs,,
1766065197-22,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Reacher,We automate creator marketing for the world's largest brands,https://www.ycombinator.com/companies/reacher,https://reacherapp.com/,"Reacher is an AI-powered platform that automates creator marketing workflows—from discovery and outreach to campaign management and content strategy—making marketing teams 10x more productive. 

We handle the manual tasks so brands can focus on building relationships with creators while centralizing their operations in one platform to manage creators on TikTok Shop, Instagram, and YouTube.",Bora Mutluoglu,https://x.com/BoraMutluoglu,https://www.ycombinator.com/companies/reacher/jobs,,
1766065200-23,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,dScribe AI,Computer vision for bulk inventory tracking,https://www.ycombinator.com/companies/dscribe-ai,https://dscribeai.com/,"dScribe AI uses autonomous drones and 3D vision to track bulk inventory. We're starting by helping the ag and mining industry track stockpiles of grain and gravel.

Bulk inventory tracking is broken. Companies either rely on guesstimates or pay for expensive manual surveys which are still off by 30 to 50%. Without accurate numbers, it’s hard to plan logistics, like how many truckloads are needed. And it creates accounting issues by misreporting inventory value, hurting financial planning and leading to missed opportunities.

We’ve lived this problem, and we know how to solve it. Warren saw it firsthand as a Product Manager at Milk Moovement, a $20M Series A AgTech startup, working closely with feed suppliers and farm managers. Cole was engineer #3 at Tropic, scaling it from seed to Series B, and later led engineering at an AI startup.

We’ve built an integrated hardware and software platform and have signed one of the largest agricultural company in North America. As industries demand real-time visibility into the physical world, dScribe AI is positioned to become the system of record for inventory that don’t fit in traditional boxes and barcodes.",Warren Wijaya Wang,https://linkedin.com/in/warrenwang-fnu/,https://www.ycombinator.com/companies/dscribe-ai/jobs,,
1766065200-24,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,dScribe AI,Computer vision for bulk inventory tracking,https://www.ycombinator.com/companies/dscribe-ai,https://dscribeai.com/,"dScribe AI uses autonomous drones and 3D vision to track bulk inventory. We're starting by helping the ag and mining industry track stockpiles of grain and gravel.

Bulk inventory tracking is broken. Companies either rely on guesstimates or pay for expensive manual surveys which are still off by 30 to 50%. Without accurate numbers, it’s hard to plan logistics, like how many truckloads are needed. And it creates accounting issues by misreporting inventory value, hurting financial planning and leading to missed opportunities.

We’ve lived this problem, and we know how to solve it. Warren saw it firsthand as a Product Manager at Milk Moovement, a $20M Series A AgTech startup, working closely with feed suppliers and farm managers. Cole was engineer #3 at Tropic, scaling it from seed to Series B, and later led engineering at an AI startup.

We’ve built an integrated hardware and software platform and have signed one of the largest agricultural company in North America. As industries demand real-time visibility into the physical world, dScribe AI is positioned to become the system of record for inventory that don’t fit in traditional boxes and barcodes.",Cole Robertson,https://x.com/cole__robertson,https://www.ycombinator.com/companies/dscribe-ai/jobs,,
1766065204-25,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Fleetline,Optimizing fleet planning with data driven algorithms,https://www.ycombinator.com/companies/fleetline,https://fleetline.ai/,"Fleetline is building the first complete-context algorithmic load planner for mid to large-sized trucking fleets. Today’s dispatchers face an overwhelming task: balancing regulations, customer demands, live fleet data, and individual driver needs, all while coordinating across siloed tools and teams. Mistakes run rampant, and each mistake is thousands of dollars. Even the select fleets using algorithms that have fleet-wide context struggle: the outputs are rigid, hard to interpret, and are blind to real-world nuances like driver preferences and schedule exceptions. Fleetline solves this by combining advanced optimization with LLMs that can easily adapt algorithms to each fleet’s needs and capture driver-specific information. The result is smarter planning truly optimized for every fleet and its drivers.",Saurav Kumar,https://twitter.com/sauravml,https://www.ycombinator.com/companies/fleetline/jobs,,
1766065204-26,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Fleetline,Optimizing fleet planning with data driven algorithms,https://www.ycombinator.com/companies/fleetline,https://fleetline.ai/,"Fleetline is building the first complete-context algorithmic load planner for mid to large-sized trucking fleets. Today’s dispatchers face an overwhelming task: balancing regulations, customer demands, live fleet data, and individual driver needs, all while coordinating across siloed tools and teams. Mistakes run rampant, and each mistake is thousands of dollars. Even the select fleets using algorithms that have fleet-wide context struggle: the outputs are rigid, hard to interpret, and are blind to real-world nuances like driver preferences and schedule exceptions. Fleetline solves this by combining advanced optimization with LLMs that can easily adapt algorithms to each fleet’s needs and capture driver-specific information. The result is smarter planning truly optimized for every fleet and its drivers.",Veer Juneja,https://www.linkedin.com/in/veer-juneja-67255417a/,https://www.ycombinator.com/companies/fleetline/jobs,,
1766065212-27,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Magnetic,AI Tax Preparer for CPA firms,https://www.ycombinator.com/companies/magnetic,https://www.magnetictax.com/,"Magnetic scans client documents - from handwritten charity notes to excel spreadsheet Schedule Cs to multi-state K-1s - and enters them into tax software automatically, saving hours of tedious data entry. 

The accounting profession is facing a massive talent shortage, as graduates choose different professions and the old guard begins to retire. As a result, CPA and tax preparation firms are awash in clientele, but unable to keep up. At many firms, phones go unanswered, clients are ""fired"", and websites are taken down, as the existing workforce tries to handle the grueling 80 hour+ weeks necessary to push through tax season to the April 15th deadline.

We built this because a former colleague who owns her own tax firm asked us to automate her workload, and we quickly realized the massive opportunity. Thomas brings deep domain expertise as the former Head of Product at Keeper (YC W19), where he built tax engine automation systems and an OCR form scanning system that outperformed everything else on the market. At Keeper, he leveraged early access to OpenAI's LLMs (well before ChatGPT) to build systems that automated the entire tax filing process, allowing a tiny team of CPAs to process thousands of returns with near zero busy work. Patrick was the first engineer at FunCraft, shipping multiple mobile games with 1M+ downloads and building scalable shared codebases. We've worked together since 2017, including co-leading multiple teams at Zynga as PM & Tech Lead respectively.

We launched this year in the middle of tax season and quickly processed hundreds of returns, earning thousands in ARR, and since tax season we've been growing customers by >30% month-over-month. We've completely automated over 25% of the return process so far and developed a proprietary vision model that beats incumbent scanning technology by almost 2x on accuracy - jumping from 50% field-level accuracy to 89%, approaching the quality of their expensive human-verified service at 92%.

The opportunity is massive - there are 80M US personal tax returns filed via professionals annually, in a $2B outsourcing market where individual CPA firms currently pay $100k-$1M per year for inferior services. We're positioned to capture significant market share by offering better accuracy & document coverage, instant processing, and superior user experience.

We've built this kind of software before, we've worked together for years (and even lived together), we've built products to $10M ARR before, and we have the grit to outwork anyone in this space.",Thomas Shelley,https://x.com/tsh3ll,https://www.ycombinator.com/companies/magnetic/jobs,,
1766065212-28,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Magnetic,AI Tax Preparer for CPA firms,https://www.ycombinator.com/companies/magnetic,https://www.magnetictax.com/,"Magnetic scans client documents - from handwritten charity notes to excel spreadsheet Schedule Cs to multi-state K-1s - and enters them into tax software automatically, saving hours of tedious data entry. 

The accounting profession is facing a massive talent shortage, as graduates choose different professions and the old guard begins to retire. As a result, CPA and tax preparation firms are awash in clientele, but unable to keep up. At many firms, phones go unanswered, clients are ""fired"", and websites are taken down, as the existing workforce tries to handle the grueling 80 hour+ weeks necessary to push through tax season to the April 15th deadline.

We built this because a former colleague who owns her own tax firm asked us to automate her workload, and we quickly realized the massive opportunity. Thomas brings deep domain expertise as the former Head of Product at Keeper (YC W19), where he built tax engine automation systems and an OCR form scanning system that outperformed everything else on the market. At Keeper, he leveraged early access to OpenAI's LLMs (well before ChatGPT) to build systems that automated the entire tax filing process, allowing a tiny team of CPAs to process thousands of returns with near zero busy work. Patrick was the first engineer at FunCraft, shipping multiple mobile games with 1M+ downloads and building scalable shared codebases. We've worked together since 2017, including co-leading multiple teams at Zynga as PM & Tech Lead respectively.

We launched this year in the middle of tax season and quickly processed hundreds of returns, earning thousands in ARR, and since tax season we've been growing customers by >30% month-over-month. We've completely automated over 25% of the return process so far and developed a proprietary vision model that beats incumbent scanning technology by almost 2x on accuracy - jumping from 50% field-level accuracy to 89%, approaching the quality of their expensive human-verified service at 92%.

The opportunity is massive - there are 80M US personal tax returns filed via professionals annually, in a $2B outsourcing market where individual CPA firms currently pay $100k-$1M per year for inferior services. We're positioned to capture significant market share by offering better accuracy & document coverage, instant processing, and superior user experience.

We've built this kind of software before, we've worked together for years (and even lived together), we've built products to $10M ARR before, and we have the grit to outwork anyone in this space.",Patrick Fay,https://linkedin.com/in/patrick-fay-5418a822,https://www.ycombinator.com/companies/magnetic/jobs,,
1766065216-29,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Duranium,Reshoring critical metal production,https://www.ycombinator.com/companies/duranium,https://www.duranium.co/,"China and Russia control the world’s critical minerals. We can produce Titanium, Magnesium, Aluminum, Zirconium & Hafnium in the U.S. more profitably than any existing process, and carbon neutrally via co-production.

Carbochlorination is the primary process for producing critical metals like titanium, hafnium, and zirconium, and was once the standard for magnesium. The problem: conventional carbochlorination relies on purchasing carbon feedstocks, wastes valuable byproducts, and is highly CO₂-intensive.

Duranium changes this with a novel reactor that recycles CO₂ emissions back into feedstock (CO) while generating a valuable co-product (bleaching agents). This closed loop slashes emissions and delivers Chinese-level metal pricing without subsidies — unlocking the full potential of carbochlorination for U.S. critical mineral production.",Brenden Prins-McKinney,https://www.linkedin.com/in/brenden-prins-mckinney-96959a69/,https://www.ycombinator.com/companies/duranium/jobs,,
1766065216-30,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Duranium,Reshoring critical metal production,https://www.ycombinator.com/companies/duranium,https://www.duranium.co/,"China and Russia control the world’s critical minerals. We can produce Titanium, Magnesium, Aluminum, Zirconium & Hafnium in the U.S. more profitably than any existing process, and carbon neutrally via co-production.

Carbochlorination is the primary process for producing critical metals like titanium, hafnium, and zirconium, and was once the standard for magnesium. The problem: conventional carbochlorination relies on purchasing carbon feedstocks, wastes valuable byproducts, and is highly CO₂-intensive.

Duranium changes this with a novel reactor that recycles CO₂ emissions back into feedstock (CO) while generating a valuable co-product (bleaching agents). This closed loop slashes emissions and delivers Chinese-level metal pricing without subsidies — unlocking the full potential of carbochlorination for U.S. critical mineral production.",Berkley Noble,https://www.linkedin.com/in/berkleynoble/,https://www.ycombinator.com/companies/duranium/jobs,,
1766065219-31,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,TectoAI,A Platform for AI Governance,https://www.ycombinator.com/companies/tectoai,https://www.tecto.ai/,"We help your company identify roles that can be filled by agentic AI tools, onboard them quickly, monitor their performance and behavior post deployment, ensure they remain compliant, and aligned with regulations. Tecto is building the governance platform for managing the AI stack!","Niosha Afsharikia, PhD",https://www.linkedin.com/in/afsharikia/,https://www.ycombinator.com/companies/tectoai/jobs,,
1766065219-32,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,TectoAI,A Platform for AI Governance,https://www.ycombinator.com/companies/tectoai,https://www.tecto.ai/,"We help your company identify roles that can be filled by agentic AI tools, onboard them quickly, monitor their performance and behavior post deployment, ensure they remain compliant, and aligned with regulations. Tecto is building the governance platform for managing the AI stack!",Roksana Baleshzar,https://www.linkedin.com/in/roksana-baleshzar/,https://www.ycombinator.com/companies/tectoai/jobs,,
1766065223-33,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Interfere,Build software that never breaks,https://www.ycombinator.com/companies/interfere,https://interfere.com/,,Luke Shiels,https://x.com/lukeshiels_,https://www.ycombinator.com/companies/interfere/jobs,,
1766065227-34,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Vulcan Technologies,AI regulatory drafting and compliance,https://www.ycombinator.com/companies/vulcan-technologies,https://www.vulcan-tech.com/,"Vulcan uses AI to map every law, regulation, and court case in America, allowing government agencies and businesses to replace massive consulting projects with instant automated analyses. We call this ""intelligent legal cartography.""

In 3 months, we went from zero customers to Virginia's Executive Order 51, requiring all state agencies to use Vulcan. We are now live with the U.S. Department of Education, a regulatory reform PAC in South Carolina, and have a pipeline of several additional state and federal agencies and major enterprises.

Our initial agency partners use legal cartography to draft lawful regulations, respond to public comments on regulations, and instantly generate mandatory cost-benefit analyses.

We have both public and private sector visions. In the public sector: we endeavor to automate the entire regulatory process end-to-end; replacing the consulting industrial complex with software. In the private sector: we plan to automate regulatory compliance, tackling the $4 trillion regulatory cost on the U.S. economy.",Tanner Jones,https://x.com/Tanner_H_Jones,https://www.ycombinator.com/companies/vulcan-technologies/jobs,,
1766065227-35,https://www.ycombinator.com/companies?batch=Fall%202025&batch=Summer%202025&isHiring=true,Vulcan Technologies,AI regulatory drafting and compliance,https://www.ycombinator.com/companies/vulcan-technologies,https://www.vulcan-tech.com/,"Vulcan uses AI to map every law, regulation, and court case in America, allowing government agencies and businesses to replace massive consulting projects with instant automated analyses. We call this ""intelligent legal cartography.""

In 3 months, we went from zero customers to Virginia's Executive Order 51, requiring all state agencies to use Vulcan. We are now live with the U.S. Department of Education, a regulatory reform PAC in South Carolina, and have a pipeline of several additional state and federal agencies and major enterprises.

Our initial agency partners use legal cartography to draft lawful regulations, respond to public comments on regulations, and instantly generate mandatory cost-benefit analyses.

We have both public and private sector visions. In the public sector: we endeavor to automate the entire regulatory process end-to-end; replacing the consulting industrial complex with software. In the private sector: we plan to automate regulatory compliance, tackling the $4 trillion regulatory cost on the U.S. economy.",Aleksander Mekhanik,https://www.linkedin.com/in/aleksander-mekhanik-41547b272/,https://www.ycombinator.com/companies/vulcan-technologies/jobs,,
